player,player_key,pos,team,adp_avg,market_rank,uncapped_model_rank,model_rank,fair_adp,actionable_adp,value_gap,forecast_points,forecast_ppg,forecast_games,model_value,position_rank,edge_probability,calibration_sample,confidence
denzel boston,denzelboston,WR,CLE,147.2,151,152,152,152,151,-1,98.3,6.4,14.5,-51.500000000000014,61,0.6116762494471473,41,Rookie / no NFL history
tyjae spears,tyjaespears,RB,TEN,146.1,147,153,153,153,148,-6,82.1,6.1,12.6,-53.20000000000002,46,0.639655862344938,26,High
de'zhaun stribling,dezhaunstribling,WR,SF,147.1,150,154,154,154,151,-4,95.0,6.3,14.5,-54.80000000000001,62,0.6116762494471473,41,Rookie / no NFL history
tyrone tracy jr.,tyronetracy,RB,NYG,155.5,160,155,155,155,159,5,79.8,5.9,13.3,-55.500000000000014,47,0.6818727490996399,19,Medium
john metchie iii,johnmetchie,WR,CAR,122.8,124,156,156,156,132,-32,93.1,6.8,13.9,-56.70000000000002,63,0.37454981992797115,5,High
ricky pearsall,rickypearsall,WR,SF,112.0,116,157,157,157,126,-41,92.9,7.1,13.3,-56.900000000000006,64,0.37454981992797115,5,Medium
chris rodriguez jr.,chrisrodriguez,RB,JAX,157.9,162,158,158,158,161,4,78.3,5.7,12.9,-57.000000000000014,48,0.6818727490996399,19,High
keaton mitchell,keatonmitchell,RB,LAC,146.4,148,159,159,159,151,-11,77.7,5.6,12.5,-57.60000000000001,49,0.639655862344938,26,High
theo wease jr.,theowease,WR,MIA,132.8,129,160,160,160,137,-31,92.1,7.3,12.9,-57.70000000000002,65,0.37454981992797115,5,Low
jalen nailor,jalennailor,WR,LV,142.3,140,161,161,161,145,-21,91.3,6.7,13.5,-58.500000000000014,66,0.4091567661547378,13,High
adonai mitchell,adonaimitchell,WR,NYJ,159.9,167,162,162,162,166,5,90.5,6.2,14.5,-59.30000000000001,67,0.6940276110444178,40,Medium
travis hunter,travishunter,WR,JAX,158.0,164,163,163,163,164,1,89.4,5.4,15.1,-60.400000000000006,68,0.6940276110444178,40,Rookie / no NFL history
antonio williams,antoniowilliams,WR,WAS,159.6,165,164,164,164,165,1,88.8,5.7,14.8,-61.000000000000014,69,0.6940276110444178,40,Rookie / no NFL history
omar cooper jr.,omarcooper,WR,NYJ,163.7,176,165,165,165,173,11,88.5,5.7,14.9,-61.30000000000001,70,0.6940276110444178,40,Rookie / no NFL history
ja'kobi lane,jakobilane,WR,BAL,162.7,174,166,166,166,172,8,88.2,5.6,14.8,-61.60000000000001,71,0.6940276110444178,40,Rookie / no NFL history
jalen mcmillan,jalenmcmillan,WR,TB,136.5,137,167,167,167,144,-30,87.6,6.7,13.2,-62.20000000000002,72,0.37454981992797115,5,Medium
malik washington,malikwashington,WR,MIA,151.9,157,168,168,168,160,-11,87.5,6.2,13.8,-62.30000000000001,73,0.6116762494471473,41,Medium
jauan jennings,jauanjennings,WR,MIN,145.4,145,169,169,169,151,-24,86.8,6.5,13.4,-63.000000000000014,74,0.4091567661547378,13,High
tank dell,tankdell,WR,HOU,148.3,152,170,170,170,156,-18,86.0,6.6,13.1,-63.80000000000001,75,0.4091567661547378,13,Medium
tank bigsby,tankbigsby,RB,PHI,162.1,172,171,171,171,172,1,71.3,5.1,13.3,-64.00000000000001,50,0.6818727490996399,19,High
brian robinson,brianrobinson,RB,ATL,157.5,161,172,172,172,164,-11,69.4,5.1,12.7,-65.9,51,0.639655862344938,26,High
james conner,jamesconner,RB,ARI,152.7,158,173,173,173,162,-15,68.8,5.3,11.4,-66.50000000000001,52,0.6105805958747136,28,High
calvin ridley,calvinridley,WR,TEN,131.7,128,174,174,174,140,-46,82.3,6.8,12.7,-67.50000000000001,76,0.37454981992797115,5,High
cooper kupp,cooperkupp,WR,SEA,154.6,159,175,175,175,163,-16,80.6,6.3,13.1,-69.20000000000002,77,0.4091567661547378,13,High
tyler allgeier,tylerallgeier,RB,ARI,157.9,163,176,176,176,166,-13,65.9,4.8,13.1,-69.4,53,0.6105805958747136,28,High
jonah coleman,jonahcoleman,RB,DEN,150.4,154,177,177,177,160,-23,64.7,4.9,11.9,-70.60000000000001,54,0.6105805958747136,28,Rookie / no NFL history
dylan sampson,dylansampson,RB,CLE,172.1,185,178,178,178,183,7,63.3,4.8,12.6,-72.00000000000001,55,0.6818727490996399,19,Low
kimani vidal,kimanividal,RB,LAC,151.0,155,179,179,179,161,-24,63.1,4.6,11.9,-72.20000000000002,56,0.6105805958747136,28,Medium
mike washington jr.,mikewashington,RB,LV,165.9,178,180,180,180,178,-2,61.4,4.5,12.4,-73.9,57,0.639655862344938,26,Rookie / no NFL history
jordan james,jordanjames,RB,SF,163.9,177,181,181,181,178,-4,61.2,4.7,12.0,-74.10000000000001,58,0.639655862344938,26,Rookie / no NFL history
kayshon boutte,kayshonboutte,WR,NE,167.8,182,182,182,182,182,0,74.6,5.5,13.6,-75.20000000000002,78,0.6940276110444178,40,High
ryan flournoy,ryanflournoy,WR,DAL,160.3,168,183,183,183,172,-15,71.9,5.4,13.9,-77.9,79,0.4091567661547378,13,Medium
pat bryant,patbryant,WR,DEN,167.3,181,184,184,184,182,-3,68.1,4.9,13.8,-81.70000000000002,80,0.6116762494471473,41,Low
isaac teslaa,isaacteslaa,WR,DET,163.0,175,185,185,185,178,-10,64.3,5.0,13.5,-85.50000000000001,81,0.6116762494471473,41,Low
kaelon black,kaelonblack,RB,SF,166.1,179,186,186,186,181,-7,48.6,3.9,12.1,-86.70000000000002,59,0.639655862344938,26,Rookie / no NFL history
